case,task,subtask,score,value,alg_number,alg_name,phase
17,braintumor,BRATS_L2,HSD,0.9033891,1,BCVuniandes,1
17,braintumor,BRATS_L3,HSD,0.82865185,1,BCVuniandes,1
18,braintumor,BRATS_L1,DCS,0.873004434952932,1,BCVuniandes,1
18,braintumor,BRATS_L2,DCS,0.666642452419003,1,BCVuniandes,1
18,braintumor,BRATS_L3,DCS,0.741150397495069,1,BCVuniandes,1
18,braintumor,BRATS_L1,HSD,0.9728077,1,BCVuniandes,1
18,braintumor,BRATS_L2,HSD,0.9019309,1,BCVuniandes,1
18,braintumor,BRATS_L3,HSD,0.92600614,1,BCVuniandes,1
19,braintumor,BRATS_L1,DCS,0.628044047037175,1,BCVuniandes,1
19,braintumor,BRATS_L2,DCS,0.603287298191013,1,BCVuniandes,1
19,braintumor,BRATS_L3,DCS,0.754543211906916,1,BCVuniandes,1
19,braintumor,BRATS_L1,HSD,0.80409116,1,BCVuniandes,1
19,braintumor,BRATS_L2,HSD,0.9487514,1,BCVuniandes,1
19,braintumor,BRATS_L3,HSD,0.84966856,1,BCVuniandes,1
20,braintumor,BRATS_L1,DCS,0.49895652173913,1,BCVuniandes,1
20,braintumor,BRATS_L2,DCS,0.737453419155011,1,BCVuniandes,1
20,braintumor,BRATS_L3,DCS,0.714760638297872,1,BCVuniandes,1
20,braintumor,BRATS_L1,HSD,0.8898486,1,BCVuniandes,1
20,braintumor,BRATS_L2,HSD,0.9892534,1,BCVuniandes,1
20,braintumor,BRATS_L3,HSD,0.9443055,1,BCVuniandes,1
21,braintumor,BRATS_L1,DCS,0.581690066782353,1,BCVuniandes,1
21,braintumor,BRATS_L2,DCS,0.450062578222778,1,BCVuniandes,1
21,braintumor,BRATS_L3,DCS,0.701437425820915,1,BCVuniandes,1
21,braintumor,BRATS_L1,HSD,0.8283422,1,BCVuniandes,1
21,braintumor,BRATS_L2,HSD,0.9652592,1,BCVuniandes,1
21,braintumor,BRATS_L3,HSD,0.97803545,1,BCVuniandes,1
22,braintumor,BRATS_L1,DCS,0.757784755019656,1,BCVuniandes,1
22,braintumor,BRATS_L2,DCS,0.183509108341323,1,BCVuniandes,1
22,braintumor,BRATS_L3,DCS,0.821538036725114,1,BCVuniandes,1
22,braintumor,BRATS_L1,HSD,0.97676665,1,BCVuniandes,1
22,braintumor,BRATS_L2,HSD,0.5201674,1,BCVuniandes,1
22,braintumor,BRATS_L3,HSD,0.9708442,1,BCVuniandes,1
23,braintumor,BRATS_L1,DCS,0.608297488552796,1,BCVuniandes,1
23,braintumor,BRATS_L2,DCS,0.821445192516521,1,BCVuniandes,1
23,braintumor,BRATS_L1,HSD,0.9449353,1,BCVuniandes,1
23,braintumor,BRATS_L2,HSD,0.98882866,1,BCVuniandes,1
24,braintumor,BRATS_L1,DCS,0.874989591596145,1,BCVuniandes,1
24,braintumor,BRATS_L2,DCS,0.0578665275340322,1,BCVuniandes,1
24,braintumor,BRATS_L3,DCS,0.896929803940007,1,BCVuniandes,1
24,braintumor,BRATS_L1,HSD,0.9757054,1,BCVuniandes,1
24,braintumor,BRATS_L2,HSD,0.23003833,1,BCVuniandes,1
24,braintumor,BRATS_L3,HSD,0.9816049,1,BCVuniandes,1
25,braintumor,BRATS_L1,DCS,0.835409148640203,1,BCVuniandes,1
25,braintumor,BRATS_L2,DCS,0.0226949693594613,1,BCVuniandes,1
25,braintumor,BRATS_L3,DCS,0.872452871308707,1,BCVuniandes,1
25,braintumor,BRATS_L1,HSD,0.9478072,1,BCVuniandes,1
25,braintumor,BRATS_L2,HSD,0.2625453,1,BCVuniandes,1
25,braintumor,BRATS_L3,HSD,0.94844973,1,BCVuniandes,1
26,braintumor,BRATS_L1,DCS,0.893992932862191,1,BCVuniandes,1
26,braintumor,BRATS_L2,DCS,0.0224654377880184,1,BCVuniandes,1
26,braintumor,BRATS_L1,HSD,0.8789999,1,BCVuniandes,1
26,braintumor,BRATS_L2,HSD,0.11692605,1,BCVuniandes,1
27,braintumor,BRATS_L1,DCS,0.798602099420539,1,BCVuniandes,1
27,braintumor,BRATS_L1,HSD,0.8874529,1,BCVuniandes,1
28,braintumor,BRATS_L1,DCS,0.847926045112963,1,BCVuniandes,1
28,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
28,braintumor,BRATS_L1,HSD,0.84882116,1,BCVuniandes,1
28,braintumor,BRATS_L2,HSD,0.06766212,1,BCVuniandes,1
29,braintumor,BRATS_L1,DCS,0.847603037505072,1,BCVuniandes,1
29,braintumor,BRATS_L2,DCS,0.817484501418514,1,BCVuniandes,1
29,braintumor,BRATS_L1,HSD,1,1,BCVuniandes,1
29,braintumor,BRATS_L2,HSD,0.9999606,1,BCVuniandes,1
30,braintumor,BRATS_L1,DCS,0.177879862766762,1,BCVuniandes,1
30,braintumor,BRATS_L1,HSD,0.22935867,1,BCVuniandes,1
31,braintumor,BRATS_L1,DCS,0.298674668667167,1,BCVuniandes,1
31,braintumor,BRATS_L1,HSD,0.43240777,1,BCVuniandes,1
32,braintumor,BRATS_L1,DCS,0.787326055871377,1,BCVuniandes,1
32,braintumor,BRATS_L2,DCS,0.37721243397976,1,BCVuniandes,1
32,braintumor,BRATS_L3,DCS,0.877144231283065,1,BCVuniandes,1
32,braintumor,BRATS_L1,HSD,0.9615881,1,BCVuniandes,1
32,braintumor,BRATS_L2,HSD,0.7892986,1,BCVuniandes,1
32,braintumor,BRATS_L3,HSD,0.9995337,1,BCVuniandes,1
33,braintumor,BRATS_L1,DCS,0,1,BCVuniandes,1
33,braintumor,BRATS_L1,HSD,0,1,BCVuniandes,1
34,braintumor,BRATS_L1,DCS,0.112826603325416,1,BCVuniandes,1
34,braintumor,BRATS_L1,HSD,0.16155417,1,BCVuniandes,1
35,braintumor,BRATS_L1,DCS,0.0387481371087928,1,BCVuniandes,1
35,braintumor,BRATS_L1,HSD,0.4308189,1,BCVuniandes,1
36,braintumor,BRATS_L1,DCS,0.323925314806774,1,BCVuniandes,1
36,braintumor,BRATS_L1,HSD,0.95453835,1,BCVuniandes,1
37,braintumor,BRATS_L1,DCS,0.463516554162649,1,BCVuniandes,1
37,braintumor,BRATS_L1,HSD,0.7287979,1,BCVuniandes,1
38,braintumor,BRATS_L1,DCS,0.573770491803279,1,BCVuniandes,1
38,braintumor,BRATS_L1,HSD,0.79198736,1,BCVuniandes,1
39,braintumor,BRATS_L1,DCS,0.577348066298343,1,BCVuniandes,1
39,braintumor,BRATS_L1,HSD,0.8760838,1,BCVuniandes,1
40,braintumor,BRATS_L1,DCS,0.167101027134754,1,BCVuniandes,1
40,braintumor,BRATS_L2,DCS,0.122806107899308,1,BCVuniandes,1
40,braintumor,BRATS_L1,HSD,0.5262615,1,BCVuniandes,1
40,braintumor,BRATS_L2,HSD,0.1645296,1,BCVuniandes,1
41,braintumor,BRATS_L1,DCS,0.71063766240231,1,BCVuniandes,1
41,braintumor,BRATS_L2,DCS,0.862454271471084,1,BCVuniandes,1
41,braintumor,BRATS_L1,HSD,0.96282095,1,BCVuniandes,1
41,braintumor,BRATS_L2,HSD,0.86153746,1,BCVuniandes,1
42,braintumor,BRATS_L1,DCS,0.299471496741752,1,BCVuniandes,1
42,braintumor,BRATS_L2,DCS,0.59023199959119,1,BCVuniandes,1
42,braintumor,BRATS_L3,DCS,0.859027777777778,1,BCVuniandes,1
42,braintumor,BRATS_L1,HSD,0.803324,1,BCVuniandes,1
42,braintumor,BRATS_L2,HSD,0.7974115,1,BCVuniandes,1
42,braintumor,BRATS_L3,HSD,0.9336859,1,BCVuniandes,1
43,braintumor,BRATS_L1,DCS,0.779441909674007,1,BCVuniandes,1
43,braintumor,BRATS_L1,HSD,0.8534157,1,BCVuniandes,1
44,braintumor,BRATS_L1,DCS,0.704997367167323,1,BCVuniandes,1
44,braintumor,BRATS_L2,DCS,0.00268889486421081,1,BCVuniandes,1
44,braintumor,BRATS_L3,DCS,0.62676399026764,1,BCVuniandes,1
44,braintumor,BRATS_L1,HSD,0.8451642,1,BCVuniandes,1
44,braintumor,BRATS_L2,HSD,0.13078108,1,BCVuniandes,1
44,braintumor,BRATS_L3,HSD,0.74335396,1,BCVuniandes,1
45,braintumor,BRATS_L1,DCS,0.758163925935517,1,BCVuniandes,1
45,braintumor,BRATS_L2,DCS,0.0970003895597974,1,BCVuniandes,1
45,braintumor,BRATS_L3,DCS,0.644966847498493,1,BCVuniandes,1
45,braintumor,BRATS_L1,HSD,0.91487056,1,BCVuniandes,1
45,braintumor,BRATS_L2,HSD,0.7269429,1,BCVuniandes,1
45,braintumor,BRATS_L3,HSD,0.9995098,1,BCVuniandes,1
46,braintumor,BRATS_L1,DCS,0.782806085486597,1,BCVuniandes,1
46,braintumor,BRATS_L2,DCS,0.883191703874406,1,BCVuniandes,1
46,braintumor,BRATS_L3,DCS,0.860837500631409,1,BCVuniandes,1
